tweet_ids,number_of_likes,number_of_retweets,number_of_followers,numer_of_friends,source,Date_Time
892420643555336193,35390,7473,8897909,18,Twitter for iPhone,Tue Aug 01 16:23:56 +0000 2017
892177421306343426,30631,5547,8897909,18,Twitter for iPhone,Tue Aug 01 00:17:27 +0000 2017
891815181378084864,23038,3671,8897910,18,Twitter for iPhone,Mon Jul 31 00:18:03 +0000 2017
891689557279858688,38675,7647,8897910,18,Twitter for iPhone,Sun Jul 30 15:58:51 +0000 2017
891327558926688256,36961,8249,8897910,18,Twitter for iPhone,Sat Jul 29 16:00:24 +0000 2017
891087950875897856,18631,2759,8897910,18,Twitter for iPhone,Sat Jul 29 00:08:17 +0000 2017
890971913173991426,10825,1792,8897910,18,Twitter for iPhone,Fri Jul 28 16:27:12 +0000 2017
890729181411237888,59634,16721,8897910,18,Twitter for iPhone,Fri Jul 28 00:22:40 +0000 2017
890609185150312448,25641,3815,8897910,18,Twitter for iPhone,Thu Jul 27 16:25:51 +0000 2017
890240255349198849,29257,6489,8897910,18,Twitter for iPhone,Wed Jul 26 15:59:51 +0000 2017
890006608113172480,28202,6498,8897910,18,Twitter for iPhone,Wed Jul 26 00:31:25 +0000 2017
889880896479866881,25661,4414,8897910,18,Twitter for iPhone,Tue Jul 25 16:11:53 +0000 2017
889665388333682689,44077,8858,8897910,18,Twitter for iPhone,Tue Jul 25 01:55:32 +0000 2017
889638837579907072,24797,3967,8897910,18,Twitter for iPhone,Tue Jul 25 00:10:02 +0000 2017
889531135344209921,13949,1998,8897910,18,Twitter for iPhone,Mon Jul 24 17:02:04 +0000 2017
889278841981685760,23148,4717,8897910,18,Twitter for iPhone,Mon Jul 24 00:19:32 +0000 2017
888917238123831296,26756,3977,8897910,18,Twitter for iPhone,Sun Jul 23 00:22:39 +0000 2017
888804989199671297,23479,3746,8897910,18,Twitter for iPhone,Sat Jul 22 16:56:37 +0000 2017
888554962724278272,18106,3064,8897910,18,Twitter for iPhone,Sat Jul 22 00:23:06 +0000 2017
888078434458587136,20008,3073,8897910,18,Twitter for iPhone,Thu Jul 20 16:49:33 +0000 2017
887705289381826560,27814,4783,8897910,18,Twitter for iPhone,Wed Jul 19 16:06:48 +0000 2017
887517139158093824,42610,10431,8897911,18,Twitter for iPhone,Wed Jul 19 03:39:09 +0000 2017
887473957103951883,63051,15926,8897911,18,Twitter for iPhone,Wed Jul 19 00:47:34 +0000 2017
887343217045368832,30936,9332,8897911,18,Twitter for iPhone,Tue Jul 18 16:08:03 +0000 2017
887101392804085760,28145,5281,8897911,18,Twitter for iPhone,Tue Jul 18 00:07:08 +0000 2017
886983233522544640,31972,6776,8897911,18,Twitter for iPhone,Mon Jul 17 16:17:36 +0000 2017
886736880519319552,10980,2824,8897912,18,Twitter for iPhone,Sun Jul 16 23:58:41 +0000 2017
886680336477933568,20662,3967,8897912,18,Twitter for iPhone,Sun Jul 16 20:14:00 +0000 2017
886366144734445568,19408,2805,8897912,18,Twitter for iPhone,Sat Jul 15 23:25:31 +0000 2017
886267009285017600,110,4,8897912,18,Twitter for iPhone,Sat Jul 15 16:51:35 +0000 2017
886258384151887873,25690,5605,8897912,18,Twitter for iPhone,Sat Jul 15 16:17:19 +0000 2017
886054160059072513,0,96,8897912,18,Twitter for iPhone,Sat Jul 15 02:45:48 +0000 2017
885984800019947520,29930,5951,8897912,18,Twitter for iPhone,Fri Jul 14 22:10:11 +0000 2017
885528943205470208,33021,5665,8897912,18,Twitter for iPhone,Thu Jul 13 15:58:47 +0000 2017
885518971528720385,18816,3306,8897912,18,Twitter for iPhone,Thu Jul 13 15:19:09 +0000 2017
885311592912609280,0,16388,8897912,18,Twitter for iPhone,Thu Jul 13 01:35:06 +0000 2017
885167619883638784,20083,3869,8897912,18,Twitter for iPhone,Wed Jul 12 16:03:00 +0000 2017
884925521741709313,70671,15985,8897912,18,Twitter for iPhone,Wed Jul 12 00:01:00 +0000 2017
884876753390489601,25538,4946,8897912,18,Twitter for iPhone,Tue Jul 11 20:47:12 +0000 2017
884562892145688576,22332,4164,8897912,18,Twitter for iPhone,Tue Jul 11 00:00:02 +0000 2017
884441805382717440,24901,5053,8897912,18,Twitter for iPhone,Mon Jul 10 15:58:53 +0000 2017
884247878851493888,66571,17980,8897912,18,Twitter for iPhone,Mon Jul 10 03:08:17 +0000 2017
884162670584377345,18756,2652,8897912,18,Twitter for iPhone,Sun Jul 09 21:29:42 +0000 2017
883838122936631299,20072,3028,8897912,18,Twitter for iPhone,Sun Jul 09 00:00:04 +0000 2017
883482846933004288,42090,8751,8897912,18,Twitter for iPhone,Sat Jul 08 00:28:19 +0000 2017
883360690899218434,20842,3266,8897912,18,Twitter for iPhone,Fri Jul 07 16:22:55 +0000 2017
883117836046086144,34045,5881,8897912,18,Twitter for iPhone,Fri Jul 07 00:17:54 +0000 2017
882992080364220416,21940,3438,8897912,18,Twitter for iPhone,Thu Jul 06 15:58:11 +0000 2017
882762694511734784,25948,4326,8897912,18,Twitter for iPhone,Thu Jul 06 00:46:41 +0000 2017
882627270321602560,25730,5377,8897912,18,Twitter for iPhone,Wed Jul 05 15:48:34 +0000 2017
882268110199369728,41159,10277,8897912,18,Twitter for iPhone,Tue Jul 04 16:01:23 +0000 2017
882045870035918850,26930,4314,8897912,18,Twitter for iPhone,Tue Jul 04 01:18:17 +0000 2017
881906580714921986,22396,3017,8897912,18,Twitter for iPhone,Mon Jul 03 16:04:48 +0000 2017
881666595344535552,46548,9464,8897913,18,Twitter for iPhone,Mon Jul 03 00:11:11 +0000 2017
881633300179243008,116,7,8897914,18,Twitter for iPhone,Sun Jul 02 21:58:53 +0000 2017
881536004380872706,45449,14194,8897914,18,Twitter for iPhone,Sun Jul 02 15:32:16 +0000 2017
881268444196462592,21412,4699,8897914,18,Twitter for iPhone,Sat Jul 01 21:49:04 +0000 2017
880935762899988482,15724,2483,8897914,18,Twitter for iPhone,Fri Jun 30 23:47:07 +0000 2017
880872448815771648,19570,3395,8897914,18,Twitter for iPhone,Fri Jun 30 19:35:32 +0000 2017
880465832366813184,26151,5514,8897914,18,Twitter for iPhone,Thu Jun 29 16:39:47 +0000 2017
880221127280381952,24757,3685,8897914,18,Twitter for iPhone,Thu Jun 29 00:27:25 +0000 2017
880095782870896641,25398,3863,8897914,18,Twitter for iPhone,Wed Jun 28 16:09:20 +0000 2017
879862464715927552,20579,3089,8897914,18,Twitter for iPhone,Wed Jun 28 00:42:13 +0000 2017
879674319642796034,292,10,8897914,18,Twitter for iPhone,Tue Jun 27 12:14:36 +0000 2017
879492040517615616,21598,2817,8897912,18,Twitter for iPhone,Tue Jun 27 00:10:17 +0000 2017
879415818425184262,97149,39574,8898572,18,Twitter for iPhone,Mon Jun 26 19:07:24 +0000 2017
879376492567855104,15488,2777,8897914,18,Twitter for iPhone,Mon Jun 26 16:31:08 +0000 2017
879130579576475649,0,6048,8897914,18,Twitter for iPhone,Mon Jun 26 00:13:58 +0000 2017
879050749262655488,20736,4173,8897912,18,Twitter for iPhone,Sun Jun 25 18:56:45 +0000 2017
879008229531029506,17496,2379,8897914,18,Twitter for iPhone,Sun Jun 25 16:07:47 +0000 2017
878776093423087618,17834,3635,8897914,18,Twitter for iPhone,Sun Jun 25 00:45:22 +0000 2017
878604707211726852,27662,6276,8897914,18,Twitter for iPhone,Sat Jun 24 13:24:20 +0000 2017
878404777348136964,0,1131,8897914,18,Twitter for iPhone,Sat Jun 24 00:09:53 +0000 2017
878316110768087041,0,5896,8897914,18,Twitter for iPhone,Fri Jun 23 18:17:33 +0000 2017
878281511006478336,7111,1131,8897912,18,Twitter for iPhone,Fri Jun 23 16:00:04 +0000 2017
878057613040115712,38768,6048,8897914,18,Twitter for iPhone,Fri Jun 23 01:10:23 +0000 2017
877736472329191424,72808,16815,8897914,18,Twitter for iPhone,Thu Jun 22 03:54:17 +0000 2017
877611172832227328,0,71,8897912,18,Twitter for iPhone,Wed Jun 21 19:36:23 +0000 2017
877556246731214848,20899,3392,8897914,18,Twitter for iPhone,Wed Jun 21 15:58:08 +0000 2017
877316821321428993,25254,4632,8897914,18,Twitter for iPhone,Wed Jun 21 00:06:44 +0000 2017
877201837425926144,24958,4949,8897914,18,Twitter for iPhone,Tue Jun 20 16:29:50 +0000 2017
876838120628539392,19062,2965,8897914,18,Twitter for iPhone,Mon Jun 19 16:24:33 +0000 2017
876537666061221889,21877,4186,8897914,18,Twitter for iPhone,Sun Jun 18 20:30:39 +0000 2017
876484053909872640,17311,2105,8897914,18,Twitter for iPhone,Sun Jun 18 16:57:37 +0000 2017
876120275196170240,25807,4150,8897914,18,Twitter for iPhone,Sat Jun 17 16:52:05 +0000 2017
875747767867523072,23146,3806,8897914,18,Twitter for iPhone,Fri Jun 16 16:11:53 +0000 2017
875144289856114688,20246,4378,8897914,18,Twitter for iPhone,Thu Jun 15 00:13:52 +0000 2017
875097192612077568,25324,5427,8897914,18,Twitter for iPhone,Wed Jun 14 21:06:43 +0000 2017
875021211251597312,23541,4201,8897914,18,Twitter for iPhone,Wed Jun 14 16:04:48 +0000 2017
874680097055178752,25670,4137,8897914,18,Twitter for iPhone,Tue Jun 13 17:29:20 +0000 2017
874434818259525634,0,12962,8897914,18,Twitter for iPhone,Tue Jun 13 01:14:41 +0000 2017
